state,breweries,clinton_per,trump_per
Alabama,3,34.7,62.7
Alaska,7,37.6,52.8
Arizona,11,45.5,49.0
Arkansas,2,33.7,60.6
California,39,62.3,31.9
Colorado,47,48.2,43.3
Connecticut,8,54.7,41.0
Delaware,2,53.4,41.9
Florida,15,92.8,4.2
Georgia,7,47.8,49.9
Hawaii,4,45.9,51.0
Idaho,5,62.2,30.0
Illinois,18,27.5,59.3
Indiana,22,56.0,38.9
Iowa,5,37.9,57.2
Kansas,3,42.2,51.7
Kentucky,4,36.3,57.0
Louisiana,5,32.7,62.5
Maine,9,38.4,58.1
Maryland,7,48.0,45.0
Massachusetts,23,61.3,34.5
Michigan,32,61.0,33.3
Minnesota,12,47.4,47.6
Mississippi,2,46.9,45.3
Missouri,9,40.1,57.9
Montana,9,38.2,56.9
Nebraska,5,35.9,56.5
Nevada,2,34.4,59.9
New Hampshire,3,47.9,45.5
New Jersey,3,47.6,47.2
New Mexico,4,55.5,41.4
New York,16,48.3,40.0
North Carolina,19,59.5,36.8
North Dakota,1,46.8,50.5
Ohio,15,27.7,64.1
Oklahoma,6,43.7,51.8
Oregon,29,28.9,65.3
Pennsylvania,25,52.0,40.6
Rhode Island,5,47.9,48.6
South Carolina,4,55.5,39.7
South Dakota,1,40.7,54.9
Tennessee,3,31.7,61.5
Texas,28,34.9,61.1
Utah,4,43.5,52.5
Vermont,10,27.5,45.5
Virginia,16,61.1,32.6
Washington,23,50.2,44.8
West Virginia,1,54.3,38.1
Wisconsin,20,26.5,68.6
Wyoming,4,47.0,47.8
