state,trump,clinton
Alabama,62.7,34.7
Alaska,52.8,37.6
Arizona,49,45.5
Arkansas,60.6,33.7
California,31.9,62.3
Colorado,43.3,48.2
Connecticut,41,54.7
Delaware,41.9,53.4
DC,4.2,92.8
Florida,49.9,47.8
Georgia,51,45.9
Hawaii,30,62.2
Idaho,59.3,27.5
Illinois,38.9,56
Indiana,57.2,37.9
Iowa,51.7,42.2
Kansas,57,36.3
Kentucky,62.5,32.7
Louisiana,58.1,38.4
Maine,45,48
Maryland,34.5,61.3
Massachusetts,33.3,61
Michigan,47.6,47.4
Minnesota,45.3,46.9
Mississippi,57.9,40.1
Missouri,56.9,38.2
Montana,56.5,35.9
Nebraska,59.9,34.4
Nevada,45.5,47.9
New Hampshire,47.2,47.6
New Jersey,41.4,55.5
New Mexico,40,48.3
New York,36.8,59.5
North Carolina,50.5,46.8
North Dakota,64.1,27.7
Ohio,51.8,43.7
Oklahoma,65.3,28.9
Oregon,40.6,52
Pennsylvania,48.6,47.9
Rhode Island,39.7,55.5
South Carolina,54.9,40.7
South Dakota,61.5,31.7
Tennessee,61.1,34.9
Texas,52.5,43.5
Utah,45.5,27.5
Vermont,32.6,61.1
Virginia,44.8,50.2
Washington,38.1,54.3
West Virginia,68.6,26.5
Wisconsin,47.8,47
Wyoming,70.1,22.5
