Region,craft_beer
Vermont,100
New Hampshire,81
Massachusetts,78
Pennsylvania,63
Rhode Island,62
Illinois,57
Delaware,53
Connecticut,52
South Carolina,52
New York,52
Colorado,50
Minnesota,49
Maine,49
Wisconsin,49
New Jersey,49
Florida,46
Ohio,45
Michigan,45
North Carolina,45
Maryland,42
Iowa,42
Missouri,41
Indiana,41
Tennessee,41
West Virginia,40
Virginia,39
California,38
Kentucky,38
Georgia,34
Nebraska,33
Montana,33
Oklahoma,32
Oregon,32
Nevada,32
Arizona,32
Texas,32
Alabama,30
Arkansas,28
Mississippi,28
Washington,27
Kansas,27
Hawaii,26
Louisiana,25
New Mexico,25
South Dakota,23
Idaho,22
North Dakota,20
Alaska,17
Utah,12
Wyoming,
